交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
XRP-USDT-SWAP,多,2025-07-18 00:00:00,3.65606557,2025-07-18 07:00:00,3.45985398,330.018246,-66.16,-0.0548,1.41,移动止盈/止损,0.0916,2983.50,0.0916,-0.0051,0.2917,-0.005096,0
ETC-USDT-SWAP,多,2025-07-18 08:00:00,24.53245300,2025-07-18 15:00:00,23.18368140,43.007165,-59.24,-0.0561,1.23,移动止盈/止损,0.0808,2924.27,0.0808,-0.0096,0.2917,-0.004584,0
DOGE-USDT-SWAP,多,2025-07-17 22:00:00,0.23095106,2025-07-18 20:00:00,0.23169683,11509.964168,5.39,0.0020,3.20,移动止盈/止损,0.2103,2929.65,0.2103,-0.0092,0.9167,0.000417,1
UNI-USDT-SWAP,多,2025-07-18 08:00:00,10.71807170,2025-07-18 20:00:00,10.10198970,93.718529,-58.91,-0.0586,1.17,移动止盈/止损,0.0769,2870.75,0.0769,-0.0137,0.5000,-0.004577,0
ARB-USDT-SWAP,多,2025-07-20 16:00:00,0.50465046,2025-07-20 21:00:00,0.49025097,3070.582617,-46.05,-0.0297,1.83,移动止盈/止损,0.1201,2824.70,0.1201,-0.0172,0.2083,-0.003591,0
ETH-USDT-SWAP,多,2025-07-20 14:00:00,3787.07540391,2025-07-20 22:00:00,3745.77538500,1.667297,-76.40,-0.0121,7.54,移动止盈/止损,0.4921,2748.30,0.4921,-0.0231,0.3333,-0.005993,1
LTC-USDT-SWAP,多,2025-07-21 06:00:00,120.72207100,2025-07-21 12:00:00,116.74832400,16.450697,-67.71,-0.0341,2.34,移动止盈/止损,0.1552,2680.59,0.1552,-0.0283,0.2500,-0.005340,0
DOGE-USDT-SWAP,多,2025-07-20 16:00:00,0.26830179,2025-07-21 19:00:00,0.26874312,11042.769653,1.32,0.0004,3.56,移动止盈/止损,0.2348,2681.90,0.2348,-0.0282,1.1250,0.000104,1
LINK-USDT-SWAP,多,2025-07-21 06:00:00,19.97374528,2025-07-21 19:00:00,19.26507330,210.487221,-154.12,-0.0367,4.96,移动止盈/止损,0.3319,2527.78,0.3319,-0.0400,0.5417,-0.012303,1
ADA-USDT-SWAP,多,2025-07-21 06:00:00,0.90146962,2025-07-22 01:00:00,0.90140985,4354.797135,-4.97,-0.0013,4.71,移动止盈/止损,0.3132,2522.81,0.3132,-0.0404,0.7917,-0.000397,1
