交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
PENDLE-USDT-SWAP,多,2025-06-03 10:00:00,4.37793775,2025-06-03 20:00:00,4.23917604,371.691957,-53.50,-0.0329,1.92,移动止盈/止损,0.1799,-1050.44,0.1799,-0.2034,0.4167,-0.005946,0
ARB-USDT-SWAP,多,2025-06-03 14:00:00,0.37233723,2025-06-03 21:00:00,0.35936406,4253.154650,-57.04,-0.0360,1.87,移动止盈/止损,0.1750,-1107.48,0.1750,-0.2085,0.2917,-0.006381,0
ETC-USDT-SWAP,多,2025-06-03 18:00:00,17.72377220,2025-06-03 21:00:00,17.48825100,162.666228,-41.75,-0.0145,3.44,移动止盈/止损,0.3202,-1149.23,0.3202,-0.2121,0.1250,-0.004692,0
ETC-USDT-SWAP,多,2025-06-04 08:00:00,17.80778060,2025-06-04 12:00:00,17.38126170,161.855198,-72.45,-0.0251,3.42,移动止盈/止损,0.3248,-1221.68,0.3248,-0.2186,0.1667,-0.008209,0
XRP-USDT-SWAP,多,2025-06-03 12:00:00,2.22392237,2025-06-04 14:00:00,2.24527545,1578.733784,29.48,0.0084,4.23,移动止盈/止损,0.3896,-1192.20,0.3896,-0.2160,1.0833,0.003329,0
LTC-USDT-SWAP,多,2025-06-04 04:00:00,90.74907400,2025-06-04 14:00:00,90.09099000,31.002911,-23.77,-0.0084,3.36,移动止盈/止损,0.3168,-1215.97,0.3168,-0.2181,0.4167,-0.002691,0
TON-USDT-SWAP,多,2025-06-05 12:00:00,3.25082505,2025-06-05 14:00:00,3.21897807,727.625006,-26.00,-0.0110,2.82,移动止盈/止损,0.2688,-1241.97,0.2688,-0.2204,0.0833,-0.002952,0
TRX-USDT-SWAP,多,2025-06-04 10:00:00,0.27287578,2025-06-05 19:00:00,0.27160284,29575.855847,-47.31,-0.0059,9.66,移动止盈/止损,0.9190,-1289.28,0.9190,-0.2245,1.3750,-0.005402,1
TRX-USDT-SWAP,多,2025-06-07 18:00:00,0.28492480,2025-06-08 18:00:00,0.28226177,25411.737867,-76.32,-0.0105,8.65,移动止盈/止损,0.8328,-1365.60,0.8328,-0.2313,1.0000,-0.008791,1
BCH-USDT-SWAP,多,2025-06-07 12:00:00,413.08825969,2025-06-08 23:00:00,410.57893800,13.307442,-39.97,-0.0073,6.58,移动止盈/止损,0.6314,-1405.57,0.6314,-0.2348,1.4583,-0.004625,1
BTC-USDT-SWAP,多,2025-06-08 18:00:00,106260.12495000,2025-06-08 23:00:00,105665.93235000,0.021050,-15.18,-0.0068,2.68,移动止盈/止损,0.2584,-1420.75,0.2584,-0.2362,0.2083,-0.001760,0
AVAX-USDT-SWAP,多,2025-06-08 18:00:00,21.21212100,2025-06-09 02:00:00,20.68293150,91.690482,-50.83,-0.0261,2.30,移动止盈/止损,0.2247,-1471.58,0.2247,-0.2407,0.3333,-0.005927,0
XRP-USDT-SWAP,多,2025-06-08 12:00:00,2.28054431,2025-06-09 03:00:00,2.24127585,1439.705506,-60.44,-0.0184,3.91,移动止盈/止损,0.3798,-1532.02,0.3798,-0.2460,0.6250,-0.007098,1
TAO-USDT-SWAP,多,2025-06-09 08:00:00,404.41559819,2025-06-10 20:00:00,421.30786500,11.901856,195.15,0.0405,5.90,移动止盈/止损,0.5547,-1336.87,0.5547,-0.2288,1.5000,0.022404,3
UNI-USDT-SWAP,多,2025-06-09 10:00:00,7.06719806,2025-06-11 18:00:00,8.07119280,673.358377,669.93,0.1408,6.12,移动止盈/止损,0.5650,-666.93,0.5650,-0.1694,2.3333,0.071417,3
BCH-USDT-SWAP,多,2025-06-09 10:00:00,426.91746152,2025-06-11 19:00:00,429.27706800,8.736075,16.13,0.0043,4.49,移动止盈/止损,0.3863,-650.81,0.3863,-0.1680,2.3750,0.001716,3
HYPE-USDT-SWAP,多,2025-06-09 10:00:00,37.19387536,2025-06-11 22:00:00,41.18388120,71.406367,281.55,0.1060,3.36,移动止盈/止损,0.3004,-369.25,0.3004,-0.1431,2.5000,0.029091,3
ARB-USDT-SWAP,多,2025-06-10 20:00:00,0.40738918,2025-06-11 22:00:00,0.39466053,6334.441763,-83.68,-0.0324,3.05,移动止盈/止损,0.2597,-452.93,0.2597,-0.1505,1.0833,-0.008721,1
