交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
BCH-USDT-SWAP,多,2025-09-02 04:00:00,566.58665300,2025-09-02 13:00:00,577.34226000,6.612551,66.58,0.0050,4.54,移动止盈/止损,0.2840,3259.31,0.2840,-0.0412,0.3750,0.005022,0
BCH-USDT-SWAP,多,2025-09-03 04:00:00,595.46688712,2025-09-03 13:00:00,597.19027500,14.634179,14.75,0.0011,10.47,移动止盈/止损,0.6593,3274.06,0.6593,-0.0401,0.3750,0.001111,1
ZEC-USDT-SWAP,多,2025-09-03 16:00:00,42.52425200,2025-09-03 21:00:00,41.79582000,91.225845,-71.07,-0.0053,4.62,移动止盈/止损,0.2916,3202.99,0.2916,-0.0452,0.2083,-0.005383,0
AVAX-USDT-SWAP,多,2025-09-03 08:00:00,25.05050480,2025-09-04 01:00:00,25.25447430,124.074856,21.56,0.0016,3.74,移动止盈/止损,0.2330,3224.55,0.2330,-0.0437,0.7083,0.001630,0
OP-USDT-SWAP,多,2025-09-05 12:00:00,0.73017301,2025-09-05 14:00:00,0.70622937,5967.375499,-148.02,-0.0112,5.14,移动止盈/止损,0.3295,3076.53,0.3295,-0.0544,0.0833,-0.011320,0
BCH-USDT-SWAP,多,2025-09-05 12:00:00,606.53064700,2025-09-05 23:00:00,606.48934500,7.420110,-5.71,-0.0004,5.40,移动止盈/止损,0.3403,3070.82,0.3403,-0.0548,0.4583,-0.000437,0
DOGE-USDT-SWAP,多,2025-09-08 08:00:00,0.23594493,2025-09-09 02:00:00,0.23448655,38509.555404,-67.03,-0.0051,10.87,移动止盈/止损,0.7011,3003.79,0.7011,-0.0596,0.7500,-0.005155,1
NEAR-USDT-SWAP,多,2025-09-09 04:00:00,2.64326430,2025-09-09 05:00:00,2.67573240,1451.882301,42.51,0.0032,4.63,移动止盈/止损,0.2922,3046.30,0.2922,-0.0566,0.0417,0.003258,0
NEAR-USDT-SWAP,多,2025-09-09 08:00:00,2.70727070,2025-09-09 09:00:00,2.74772520,1471.375506,54.71,0.0041,4.82,移动止盈/止损,0.2973,3101.00,0.2973,-0.0526,0.0417,0.004176,0
VIRTUAL-USDT-SWAP,多,2025-09-09 00:00:00,1.29812980,2025-09-09 16:00:00,1.24797519,1584.967001,-81.91,-0.0062,2.42,移动止盈/止损,0.1562,3019.09,0.1562,-0.0585,0.6667,-0.006292,0
AVAX-USDT-SWAP,多,2025-09-10 12:00:00,28.55771142,2025-09-11 05:00:00,28.62613710,187.586292,6.40,0.0005,6.44,移动止盈/止损,0.4038,3025.49,0.4038,-0.0581,0.7083,0.000491,1
BONK-USDT-SWAP,多,2025-09-12 00:00:00,0.02464246,2025-09-12 10:00:00,0.02483352,117751.107052,19.00,0.0014,3.50,移动止盈/止损,0.2127,3044.49,0.2127,-0.0567,0.4167,0.001457,0
RENDER-USDT-SWAP,多,2025-09-12 00:00:00,4.03240320,2025-09-12 10:00:00,3.94860510,1101.251547,-97.56,-0.0072,5.27,移动止盈/止损,0.3255,2946.93,0.3255,-0.0638,0.4167,-0.007535,0
HYPE-USDT-SWAP,多,2025-09-08 08:00:00,51.93906203,2025-09-13 00:00:00,55.16548290,126.266227,399.27,0.0305,8.11,对齐失效,0.5103,3346.21,0.5103,-0.0349,4.6667,0.029917,1
BONK-USDT-SWAP,多,2025-09-13 08:00:00,0.02632963,2025-09-13 09:00:00,0.02676832,114630.440683,46.64,0.0035,3.65,移动止盈/止损,0.2245,3392.84,0.2245,-0.0315,0.0417,0.003482,0
SOL-USDT-SWAP,多,2025-09-12 12:00:00,241.06379538,2025-09-13 13:00:00,239.91600600,41.015839,-58.91,-0.0044,11.84,移动止盈/止损,0.7424,3333.93,0.7424,-0.0358,1.0417,-0.004418,1
